Helem Fernandes    	Assessora
Lucas Almeida      	Gerente Comercial
Mariana Costa      	Coordenadora
Rafael Souza       	Supervisor
Juliana Martins    	Analista de Vendas
Bruno Ribeiro      	Consultor
Patrícia Gomes     	Executiva de Contas
Felipe Rocha       	Vendedor
Camila Barros      	Especialista
Eduardo Lima       	Gerente Regional
Aline Ferreira     	Supervisora
Thiago Carvalho    	Consultor Sênior
Fernanda Alves     	Analista
Gustavo Pereira    	Coordenador
Renata Dias        	Executiva
Daniel Moreira     	Vendedor
Larissa Nunes      	Assistente Comercial
André Teixeira     	Supervisor Regional
Bianca Melo        	Consultora
Vinicius Freitas   	Gerente de Vendas
